gid,lbl,val,geometry,result
다사468478,295.00,295.0,"POLYGON ((946800 1947800, 946800 1947900, 946900 1947900, 946900 1947800, 946800 1947800))",667.25
다사499467,N/A,0.0,"POLYGON ((949900 1946700, 949900 1946800, 950000 1946800, 950000 1946700, 949900 1946700))",508.0
다사476442,14.00,14.0,"POLYGON ((947600 1944200, 947600 1944300, 947700 1944300, 947700 1944200, 947600 1944200))",338.125
다사468458,125.00,125.0,"POLYGON ((946800 1945800, 946800 1945900, 946900 1945900, 946900 1945800, 946800 1945800))",471.375
다사469479,616.00,616.0,"POLYGON ((946900 1947900, 946900 1948000, 947000 1948000, 947000 1947900, 946900 1947900))",1036.75
다사468437,244.00,244.0,"POLYGON ((946800 1943700, 946800 1943800, 946900 1943800, 946900 1943700, 946800 1943700))",461.0
다사481452,114.00,114.0,"POLYGON ((948100 1945200, 948100 1945300, 948200 1945300, 948200 1945200, 948100 1945200))",368.25
다사475478,331.00,331.0,"POLYGON ((947500 1947800, 947500 1947900, 947600 1947900, 947600 1947800, 947500 1947800))",791.125
다사462469,387.00,387.0,"POLYGON ((946200 1946900, 946200 1947000, 946300 1947000, 946300 1946900, 946200 1946900))",594.0
다사477468,452.00,452.0,"POLYGON ((947700 1946800, 947700 1946900, 947800 1946900, 947800 1946800, 947700 1946800))",584.625
다사480453,340.00,340.0,"POLYGON ((948000 1945300, 948000 1945400, 948100 1945400, 948100 1945300, 948000 1945300))",631.75
다사475475,152.00,152.0,"POLYGON ((947500 1947500, 947500 1947600, 947600 1947600, 947600 1947500, 947500 1947500))",431.625
다사467471,394.00,394.0,"POLYGON ((946700 1947100, 946700 1947200, 946800 1947200, 946800 1947100, 946700 1947100))",711.25
다사482443,289.00,289.0,"POLYGON ((948200 1944300, 948200 1944400, 948300 1944400, 948300 1944300, 948200 1944300))",481.33333333333337
다사462476,N/A,0.0,"POLYGON ((946200 1947600, 946200 1947700, 946300 1947700, 946300 1947600, 946200 1947600))",130.625
다사471434,356.00,356.0,"POLYGON ((947100 1943400, 947100 1943500, 947200 1943500, 947200 1943400, 947100 1943400))",608.125
다사481460,345.00,345.0,"POLYGON ((948100 1946000, 948100 1946100, 948200 1946100, 948200 1946000, 948100 1946000))",576.5
다사473469,115.00,115.0,"POLYGON ((947300 1946900, 947300 1947000, 947400 1947000, 947400 1946900, 947300 1946900))",221.875
