기간,자치구,동,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구
기간,자치구,동,전체인구,전체인구,전체인구,합계,합계,합계,내국인,내국인,내국인,외국인,외국인,외국인
기간,자치구,동,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2020,동대문구,용신동,"32,602","16,452","16,150","5,703","2,647","3,056","5,667","2,633","3,034",36,14,22
2020,동대문구,제기동,"27,017","13,572","13,445","5,741","2,544","3,197","5,718","2,532","3,186",23,12,11
2020,동대문구,전농1동,"30,722","15,383","15,339","5,651","2,552","3,099","5,630","2,540","3,090",21,12,9
2020,동대문구,전농2동,"19,449","9,341","10,108","3,633","1,591","2,042","3,631","1,591","2,040",2,-,2
2020,동대문구,답십리2동,"29,486","14,315","15,171","5,485","2,386","3,099","5,478","2,382","3,096",7,4,3
2020,동대문구,장안1동,"39,287","19,488","19,799","6,321","2,959","3,362","6,305","2,953","3,352",16,6,10
2020,동대문구,장안2동,"33,339","16,644","16,695","5,085","2,290","2,795","5,079","2,285","2,794",6,5,1
2020,동대문구,이문1동,"21,205","10,180","11,025","3,287","1,407","1,880","3,275","1,400","1,875",12,7,5
2020,동대문구,이문2동,"20,947","10,134","10,813","3,853","1,672","2,181","3,842","1,665","2,177",11,7,4
2020,동대문구,답십리1동,"29,511","14,276","15,235","4,149","1,795","2,354","4,143","1,794","2,349",6,1,5
2020,중랑구,소계,"399,562","197,118","202,444","69,447","31,098","38,349","69,341","31,049","38,292",106,49,57
2020,중랑구,면목2동,"25,214","12,514","12,700","4,441","1,954","2,487","4,434","1,948","2,486",7,6,1
2020,중랑구,면목4동,"19,270","9,584","9,686","3,690","1,582","2,108","3,683","1,577","2,106",7,5,2
2020,중랑구,면목5동,"14,661","7,373","7,288","2,138",984,"1,154","2,134",981,"1,153",4,3,1
2020,중랑구,면목7동,"22,714","11,352","11,362","4,206","1,898","2,308","4,201","1,898","2,303",5,-,5
2020,중랑구,상봉1동,"24,912","12,165","12,747","3,626","1,586","2,040","3,620","1,583","2,037",6,3,3
2020,중랑구,상봉2동,"20,214","9,812","10,402","2,956","1,391","1,565","2,952","1,389","1,563",4,2,2
2020,중랑구,중화1동,"20,400","9,973","10,427","3,497","1,565","1,932","3,494","1,564","1,930",3,1,2
2020,중랑구,중화2동,"26,073","13,359","12,714","4,989","2,292","2,697","4,968","2,285","2,683",21,7,14
2020,중랑구,묵1동,"35,588","17,210","18,378","5,772","2,609","3,163","5,767","2,608","3,159",5,1,4
2020,중랑구,묵2동,"19,672","9,660","10,012","3,464","1,570","1,894","3,455","1,567","1,888",9,3,6
2020,중랑구,망우3동,"17,508","8,756","8,752","3,298","1,491","1,807","3,296","1,489","1,807",2,2,-
2020,중랑구,신내1동,"39,831","19,385","20,446","6,612","2,922","3,690","6,606","2,918","3,688",6,4,2
2020,중랑구,신내2동,"21,302","10,139","11,163","3,891","1,674","2,217","3,890","1,674","2,216",1,-,1
2020,중랑구,면목본동,"35,424","17,521","17,903","5,995","2,620","3,375","5,988","2,618","3,370",7,2,5
2020,중랑구,면목3.8동,"25,995","12,889","13,106","4,912","2,250","2,662","4,904","2,244","2,660",8,6,2
2020,중랑구,망우본동,"30,784","15,426","15,358","5,960","2,710","3,250","5,949","2,706","3,243",11,4,7
2020,성북구,소계,"447,056","214,658","232,398","73,770","31,721","42,049","73,613","31,651","41,962",157,70,87
2020,성북구,돈암1동,"15,379","7,185","8,194","2,861","1,212","1,649","2,861","1,212","1,649",-,-,-
2020,성북구,돈암2동,"24,686","11,738","12,948","3,427","1,463","1,964","3,424","1,463","1,961",3,-,3
2020,성북구,안암동,"16,580","8,113","8,467","2,165",896,"1,269","2,158",894,"1,264",7,2,5
2020,성북구,보문동,"16,123","7,771","8,352","2,417","1,011","1,406","2,407","1,006","1,401",10,5,5
2020,성북구,정릉1동,"18,929","9,098","9,831","3,103","1,307","1,796","3,097","1,306","1,791",6,1,5
2020,성북구,정릉2동,"23,736","11,450","12,286","4,389","1,905","2,484","4,379","1,900","2,479",10,5,5
2020,성북구,정릉3동,"16,847","8,265","8,582","3,284","1,370","1,914","3,284","1,370","1,914",-,-,-
2020,성북구,정릉4동,"25,993","12,511","13,482","4,792","2,085","2,707","4,787","2,083","2,704",5,2,3
2020,성북구,길음1동,"36,568","17,395","19,173","4,495","1,896","2,599","4,487","1,893","2,594",8,3,5
2020,성북구,길음2동,"17,167","8,301","8,866","2,577","1,105","1,472","2,576","1,104","1,472",1,1,-
2020,성북구,월곡1동,"27,108","13,081","14,027","4,671","2,068","2,603","4,666","2,066","2,600",5,2,3
2020,성북구,월곡2동,"20,396","9,817","10,579","3,600","1,576","2,024","3,595","1,575","2,020",5,1,4
2020,성북구,장위1동,"20,449","9,934","10,515","3,707","1,599","2,108","3,701","1,597","2,104",6,2,4
2020,성북구,장위2동,"14,106","6,970","7,136","3,121","1,368","1,753","3,112","1,366","1,746",9,2,7
2020,성북구,장위3동,"17,359","8,578","8,781","2,346","1,077","1,269","2,346","1,077","1,269",-,-,-
