기간,자치구,동,총 수급자,총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
기간,자치구,동,가구,시설,인원,가구,인원,가구,인원,가구,인원,시설,인원
2020,성북구,길음2동,371,-,458,309,359,51,86,11,13,-,-
2020,성북구,월곡1동,704,-,946,558,697,114,211,32,38,-,-
2020,성북구,월곡2동,554,-,701,474,586,72,105,8,10,-,-
2020,성북구,장위1동,"1,125",-,"1,862",867,"1,313",239,525,19,24,-,-
2020,성북구,장위2동,653,-,957,525,725,106,200,22,32,-,-
2020,성북구,장위3동,403,-,621,336,483,59,126,8,12,-,-
2020,성북구,성북동,298,-,404,251,318,43,79,4,7,-,-
2020,성북구,삼선동,578,-,777,496,647,61,101,21,29,-,-
2020,성북구,동선동,345,-,434,279,350,57,77,9,7,-,-
2020,성북구,종암동,991,-,"1,307",796,989,165,288,30,30,-,-
2020,성북구,석관동,"1,286",-,"1,792","1,072","1,412",187,348,27,32,-,-
2020,성북구,기타,13,28,409,13,13,-,-,-,-,28,396
2020,강북구,소계,"14,116",32,"19,846","11,936","15,901","1,699","3,024",481,656,32,265
2020,강북구,번1동,836,-,"1,065",704,886,111,152,21,27,-,-
2020,강북구,번2동,"1,164",-,"1,713",944,"1,298",160,324,60,91,-,-
2020,강북구,번3동,"1,738",-,"2,624","1,479","2,102",183,406,76,116,-,-
2020,강북구,수유1동,"1,028",-,"1,430",876,"1,166",126,228,26,36,-,-
2020,강북구,수유2동,848,-,"1,181",719,965,109,190,20,26,-,-
2020,강북구,수유3동,"1,100",-,"1,412",948,"1,185",140,212,12,15,-,-
2020,강북구,삼양동,"1,174",-,"1,679",943,"1,284",184,334,47,61,-,-
2020,강북구,미아동,891,-,"1,134",757,945,97,138,37,51,-,-
2020,강북구,송중동,"1,035",-,"1,343",877,"1,107",106,162,52,74,-,-
2020,강북구,송천동,"1,347",-,"1,750","1,179","1,497",139,214,29,39,-,-
2020,강북구,삼각산동,925,-,"1,225",810,"1,040",90,159,25,26,-,-
2020,강북구,우이동,693,-,"1,043",602,861,76,166,15,16,-,-
2020,강북구,인수동,"1,332",-,"1,977","1,093","1,560",178,339,61,78,-,-
2020,강북구,기타,5,32,270,5,5,-,-,-,-,32,265
2020,도봉구,소계,"9,645",49,"13,876","8,189","11,104","1,360","2,379",96,117,49,276
2020,도봉구,쌍문1동,805,-,"1,158",686,929,114,220,5,9,-,-
2020,도봉구,쌍문2동,691,-,990,594,832,86,147,11,11,-,-
2020,도봉구,쌍문3동,588,-,761,510,652,75,105,3,4,-,-
2020,도봉구,쌍문4동,213,-,313,191,261,20,50,2,2,-,-
2020,도봉구,방학1동,"1,151",-,"1,618",950,"1,292",188,311,13,15,-,-
2020,도봉구,방학2동,"1,470",-,"2,231","1,191","1,696",265,518,14,17,-,-
2020,도봉구,방학3동,263,-,403,247,375,14,26,2,2,-,-
2020,도봉구,창1동,439,-,597,383,504,52,89,4,4,-,-
2020,도봉구,창2동,733,-,"1,106",603,861,120,228,10,17,-,-
2020,도봉구,창3동,803,-,"1,133",667,930,133,200,3,3,-,-
2020,도봉구,창4동,254,-,328,228,285,24,41,2,2,-,-
2020,도봉구,창5동,406,-,557,340,457,66,100,-,-,-,-
2020,도봉구,도봉1동,"1,069",-,"1,451",933,"1,213",118,216,18,22,-,-
2020,도봉구,도봉2동,752,-,947,658,810,85,128,9,9,-,-
2020,도봉구,기타,8,49,283,8,7,-,-,-,-,49,276
2020,노원구,소계,"21,151",37,"31,054","17,707","24,330","3,247","5,790",197,248,37,686
2020,노원구,월계1동,682,-,875,558,707,118,161,6,7,-,-
2020,노원구,월계2동,"2,256",-,"3,072","1,949","2,530",286,513,21,29,-,-
2020,노원구,월계3동,"1,410",-,"1,981","1,164","1,554",235,416,11,11,-,-
2020,노원구,공릉2동,658,-,937,542,775,114,160,2,2,-,-
2020,노원구,하계1동,"2,115",-,"2,889","1,771","2,294",323,569,21,26,-,-
2020,노원구,하계2동,758,-,"1,178",655,963,97,205,6,10,-,-
2020,노원구,중계본동,353,-,578,274,421,77,154,2,3,-,-
2020,노원구,중계1동,488,-,747,411,602,70,136,7,9,-,-
2020,노원구,중계4동,"1,344",-,"1,806","1,158","1,488",177,308,9,10,-,-
2020,노원구,상계1동,"1,175",-,"1,724",996,"1,420",173,298,6,6,-,-
2020,노원구,상계2동,719,-,968,558,754,149,200,12,14,-,-
2020,노원구,상계5동,"1,197",-,"1,798",914,"1,311",261,458,22,29,-,-
2020,노원구,상계8동,195,-,342,169,278,26,64,-,-,-,-
2020,노원구,상계9동,281,-,459,249,401,30,55,2,3,-,-
2020,노원구,상계10동,232,-,400,194,330,35,67,3,3,-,-
2020,노원구,상계3.4동,"1,804",-,"2,463","1,490","1,959",295,481,19,23,-,-
2020,노원구,상계6.7동,582,-,"1,029",474,808,105,216,3,5,-,-
2020,노원구,중계2.3동,"3,124",-,"4,744","2,599","3,688",497,"1,020",28,36,-,-
2020,노원구,공릉1동,"1,732",-,"2,331","1,536","2,000",179,309,17,22,-,-
2020,노원구,기타,46,37,733,46,47,-,-,-,-,37,686
2020,은평구,소계,"15,455",38,"24,139","13,034","18,290","2,093","3,755",328,420,38,"1,674"
2020,은평구,녹번동,"1,160",-,"1,561","1,003","1,324",136,215,21,22,-,-
2020,은평구,불광1동,"1,233",-,"1,700","1,027","1,367",166,278,40,55,-,-
2020,은평구,갈현1동,"1,241",-,"1,810","1,006","1,397",211,383,24,30,-,-
2020,은평구,갈현2동,942,-,"1,468",735,"1,092",189,351,18,25,-,-
2020,은평구,구산동,"1,001",-,"1,472",866,"1,217",120,236,15,19,-,-
2020,은평구,대조동,"1,072",-,"1,493",925,"1,279",134,201,13,13,-,-
2020,은평구,응암1동,723,-,"1,083",628,921,82,147,13,15,-,-
2020,은평구,응암2동,726,-,"1,016",619,840,87,154,20,22,-,-
2020,은평구,신사1동,667,-,"1,001",566,819,85,158,16,24,-,-
2020,은평구,신사2동,714,-,"1,161",586,887,115,257,13,17,-,-
2020,은평구,증산동,434,-,640,370,535,59,97,5,8,-,-
2020,은평구,수색동,394,-,523,340,432,48,85,6,6,-,-
2020,은평구,진관동,837,-,"1,379",743,"1,196",75,159,19,24,-,-
2020,은평구,불광2동,"1,521",-,"2,112","1,277","1,720",209,348,35,44,-,-
2020,은평구,응암3동,"1,250",-,"1,813","1,027","1,409",171,334,52,70,-,-
2020,은평구,역촌동,"1,514",-,"2,206","1,290","1,828",206,352,18,26,-,-
2020,은평구,기타,26,38,"1,701",26,27,-,-,-,-,38,"1,674"
2020,서대문구,소계,"7,517",24,"10,614","6,530","8,506",879,"1,471",108,134,24,503
2020,서대문구,천연동,609,-,713,544,625,55,77,10,11,-,-
2020,서대문구,홍제1동,488,-,671,420,563,62,101,6,7,-,-
2020,서대문구,홍제3동,486,-,655,419,561,57,82,10,12,-,-
2020,서대문구,홍제2동,389,-,513,347,441,37,67,5,5,-,-
2020,서대문구,홍은1동,550,-,718,501,648,45,66,4,4,-,-
2020,서대문구,홍은2동,740,-,"1,098",606,862,126,226,8,10,-,-
2020,서대문구,남가좌1동,170,-,238,152,200,15,32,3,6,-,-
2020,서대문구,남가좌2동,892,-,"1,168",780,984,91,152,21,32,-,-
2020,서대문구,북가좌1동,304,-,473,271,399,29,69,4,5,-,-
2020,서대문구,북가좌2동,937,-,"1,368",816,"1,140",109,216,12,12,-,-
2020,서대문구,충현동,469,-,612,404,512,54,86,11,14,-,-
2020,서대문구,북아현동,443,-,561,383,471,55,85,5,5,-,-
2020,서대문구,신촌동,456,-,506,394,428,59,74,3,4,-,-
2020,서대문구,연희동,578,-,811,487,666,85,138,6,7,-,-
2020,서대문구,기타,6,24,509,6,6,-,-,-,-,24,503
2020,마포구,소계,"7,195",12,"10,160","5,889","7,750","1,162","1,975",144,192,12,243
2020,마포구,용강동,311,-,411,276,354,32,55,3,2,-,-
2020,마포구,대흥동,369,-,425,308,349,53,68,8,8,-,-
2020,마포구,염리동,265,-,344,205,251,54,87,6,6,-,-
2020,마포구,신수동,285,-,371,211,271,70,92,4,8,-,-
2020,마포구,서교동,322,-,398,244,290,71,100,7,8,-,-
2020,마포구,합정동,467,-,559,397,454,64,98,6,7,-,-
2020,마포구,망원1동,505,-,675,385,490,112,176,8,9,-,-
2020,마포구,망원2동,369,-,529,312,425,50,95,7,9,-,-
