행정동코드,재생도시
1165052000,0
1165053000,0
1165053100,0
1165054000,0
1165055000,0
1165056000,0
1165057000,0
1165058000,0
1165058100,0
1165059000,0
1165060000,0
1165061000,0
1165062000,0
1165062100,0
1165065100,0
1165065200,0
1165066000,0
1168051000,0
1168052100,0
1168053100,0
1168058000,0
1168059000,0
1168060000,0
1168063000,0
1168064000,0
1168065000,0
1168065500,0
1168065600,0
1168066000,0
1168069000,0
1168072000,0
1168073000,0
1168074000,0
1168075000,0
1168070000,0
1168054500,0
1168056500,0
1168061000,0
1168067000,0
1171051000,1
1171052000,1
1171053100,0
1171053200,0
1171054000,0
1171055000,0
1171056100,0
1171056200,0
1171056600,0
1171057000,0
1171058000,0
1171059000,0
1171060000,0
1171061000,0
1171062000,0
1171063100,0
1171063200,0
1171064100,0
1171064200,0
1171065000,0
1171069000,0
1171071000,0
1171072000,0
1171067000,0
1171068000,0
1171064600,0
1171064700,0
1174051500,0
1174052000,0
1174053000,0
1174054000,0
1174055000,0
1174056000,0
1174058000,1
1174059000,1
1174060000,0
1174062000,0
1174064000,0
1174065000,1
1174066000,0
1174070000,0
1174057000,1
1174061000,0
1174068500,0
