행정동코드,시도명,시군구명,읍면동명
1120079000,서울특별시,성동구,용답동
1121571000,서울특별시,광진구,화양동
1121573000,서울특별시,광진구,군자동
1121574000,서울특별시,광진구,중곡1동
1121575000,서울특별시,광진구,중곡2동
1121576000,서울특별시,광진구,중곡3동
1121577000,서울특별시,광진구,중곡4동
1121578000,서울특별시,광진구,능동
1121581000,서울특별시,광진구,광장동
1121582000,서울특별시,광진구,자양1동
1121583000,서울특별시,광진구,자양2동
1121584000,서울특별시,광진구,자양3동
1121584700,서울특별시,광진구,자양4동
1121585000,서울특별시,광진구,구의1동
1121586000,서울특별시,광진구,구의2동
1121587000,서울특별시,광진구,구의3동
1123053600,서울특별시,동대문구,용신동
1123054500,서울특별시,동대문구,제기동
1123056000,서울특별시,동대문구,전농1동
1123057000,서울특별시,동대문구,전농2동
1123060000,서울특별시,동대문구,답십리1동
1123061000,서울특별시,동대문구,답십리2동
1123065000,서울특별시,동대문구,장안1동
1123066000,서울특별시,동대문구,장안2동
1123070500,서울특별시,동대문구,청량리동
1123071000,서울특별시,동대문구,회기동
1123072000,서울특별시,동대문구,휘경1동
1123073000,서울특별시,동대문구,휘경2동
1123074000,서울특별시,동대문구,이문1동
1123075000,서울특별시,동대문구,이문2동
1126052000,서울특별시,중랑구,면목2동
1126054000,서울특별시,중랑구,면목4동
1126055000,서울특별시,중랑구,면목5동
1126056500,서울특별시,중랑구,면목본동
1126057000,서울특별시,중랑구,면목7동
1126057500,서울특별시,중랑구,면목3·8동
1126058000,서울특별시,중랑구,상봉1동
1126059000,서울특별시,중랑구,상봉2동
1126060000,서울특별시,중랑구,중화1동
1126061000,서울특별시,중랑구,중화2동
1126062000,서울특별시,중랑구,묵1동
1126063000,서울특별시,중랑구,묵2동
1126065500,서울특별시,중랑구,망우본동
1126066000,서울특별시,중랑구,망우3동
1126068000,서울특별시,중랑구,신내1동
1126069000,서울특별시,중랑구,신내2동
1129052500,서울특별시,성북구,성북동
1129055500,서울특별시,성북구,삼선동
1129057500,서울특별시,성북구,동선동
1129058000,서울특별시,성북구,돈암1동
1129059000,서울특별시,성북구,돈암2동
1129060000,서울특별시,성북구,안암동
1129061000,서울특별시,성북구,보문동
1129062000,서울특별시,성북구,정릉1동
1129063000,서울특별시,성북구,정릉2동
1129064000,서울특별시,성북구,정릉3동
1129065000,서울특별시,성북구,정릉4동
1129066000,서울특별시,성북구,길음1동
1129068500,서울특별시,성북구,길음2동
1129070500,서울특별시,성북구,종암동
1129071500,서울특별시,성북구,월곡1동
1129072500,서울특별시,성북구,월곡2동
1129076000,서울특별시,성북구,장위1동
1129077000,서울특별시,성북구,장위2동
1129078000,서울특별시,성북구,장위3동
1129081000,서울특별시,성북구,석관동
1130553400,서울특별시,강북구,삼양동
1130553500,서울특별시,강북구,미아동
1130554500,서울특별시,강북구,송중동
1130555500,서울특별시,강북구,송천동
1130557500,서울특별시,강북구,삼각산동
1130559500,서울특별시,강북구,번1동
1130560300,서울특별시,강북구,번2동
1130560800,서울특별시,강북구,번3동
1130561500,서울특별시,강북구,수유1동
1130562500,서울특별시,강북구,수유2동
1130563500,서울특별시,강북구,수유3동
1130564500,서울특별시,강북구,우이동
1130566000,서울특별시,강북구,인수동
1132051100,서울특별시,도봉구,창1동
1132051200,서울특별시,도봉구,창2동
1132051300,서울특별시,도봉구,창3동
1132051400,서울특별시,도봉구,창4동
1132051500,서울특별시,도봉구,창5동
1132052100,서울특별시,도봉구,도봉1동
1132052200,서울특별시,도봉구,도봉2동
1132066000,서울특별시,도봉구,쌍문1동
1132067000,서울특별시,도봉구,쌍문2동
1132068000,서울특별시,도봉구,쌍문3동
1132068100,서울특별시,도봉구,쌍문4동
1132069000,서울특별시,도봉구,방학1동
1132070000,서울특별시,도봉구,방학2동
1132071000,서울특별시,도봉구,방학3동
1135056000,서울특별시,노원구,월계1동
1135057000,서울특별시,노원구,월계2동
1135058000,서울특별시,노원구,월계3동
1135059500,서울특별시,노원구,공릉1동
1135060000,서울특별시,노원구,공릉2동
1135061100,서울특별시,노원구,하계1동
1135061200,서울특별시,노원구,하계2동
1135061900,서울특별시,노원구,중계본동
1135062100,서울특별시,노원구,중계1동
1135062400,서울특별시,노원구,중계4동
1135062500,서울특별시,노원구,중계2·3동
1135063000,서울특별시,노원구,상계1동
1135064000,서울특별시,노원구,상계2동
1135066500,서울특별시,노원구,상계3·4동
1135067000,서울특별시,노원구,상계5동
1135069500,서울특별시,노원구,상계6·7동
1135070000,서울특별시,노원구,상계8동
1135071000,서울특별시,노원구,상계9동
1135072000,서울특별시,노원구,상계10동
1138051000,서울특별시,은평구,녹번동
1138052000,서울특별시,은평구,불광1동
1138053000,서울특별시,은평구,불광2동
1138055100,서울특별시,은평구,갈현1동
1138055200,서울특별시,은평구,갈현2동
1138056000,서울특별시,은평구,구산동
1138057000,서울특별시,은평구,대조동
1138058000,서울특별시,은평구,응암1동
1138059000,서울특별시,은평구,응암2동
1138060000,서울특별시,은평구,응암3동
1138062500,서울특별시,은평구,역촌동
1138063100,서울특별시,은평구,신사1동
1138063200,서울특별시,은평구,신사2동
1138064000,서울특별시,은평구,증산동
1138065000,서울특별시,은평구,수색동
1138069000,서울특별시,은평구,진관동
1141052000,서울특별시,서대문구,천연동
1141055500,서울특별시,서대문구,북아현동
1141056500,서울특별시,서대문구,충현동
1141058500,서울특별시,서대문구,신촌동
1141061500,서울특별시,서대문구,연희동
1141062000,서울특별시,서대문구,홍제1동
1141064000,서울특별시,서대문구,홍제3동
1141065500,서울특별시,서대문구,홍제2동
1141066000,서울특별시,서대문구,홍은1동
1141068500,서울특별시,서대문구,홍은2동
1141069000,서울특별시,서대문구,남가좌1동
1141070000,서울특별시,서대문구,남가좌2동
1141071000,서울특별시,서대문구,북가좌1동
1141072000,서울특별시,서대문구,북가좌2동
1144055500,서울특별시,마포구,아현동
1144056500,서울특별시,마포구,공덕동
1144058500,서울특별시,마포구,도화동
1144059000,서울특별시,마포구,용강동
1144060000,서울특별시,마포구,대흥동
1144061000,서울특별시,마포구,염리동
1144063000,서울특별시,마포구,신수동
1144065500,서울특별시,마포구,서강동
1144066000,서울특별시,마포구,서교동
1144068000,서울특별시,마포구,합정동
1144069000,서울특별시,마포구,망원1동
1144070000,서울특별시,마포구,망원2동
1144071000,서울특별시,마포구,연남동
1144072000,서울특별시,마포구,성산1동
1144073000,서울특별시,마포구,성산2동
1144074000,서울특별시,마포구,상암동
1147051000,서울특별시,양천구,목1동
1147052000,서울특별시,양천구,목2동
1147053000,서울특별시,양천구,목3동
1147054000,서울특별시,양천구,목4동
1147055000,서울특별시,양천구,목5동
1147056000,서울특별시,양천구,신월1동
1147057000,서울특별시,양천구,신월2동
1147058000,서울특별시,양천구,신월3동
1147059000,서울특별시,양천구,신월4동
1147060000,서울특별시,양천구,신월5동
1147061000,서울특별시,양천구,신월6동
1147061100,서울특별시,양천구,신월7동
1147062000,서울특별시,양천구,신정1동
1147063000,서울특별시,양천구,신정2동
1147064000,서울특별시,양천구,신정3동
1147065000,서울특별시,양천구,신정4동
1147067000,서울특별시,양천구,신정6동
1147068000,서울특별시,양천구,신정7동
1150051000,서울특별시,강서구,염창동
1150052000,서울특별시,강서구,등촌1동
1150053000,서울특별시,강서구,등촌2동
1150053500,서울특별시,강서구,등촌3동
1150054000,서울특별시,강서구,화곡1동
1150055000,서울특별시,강서구,화곡2동
1150056000,서울특별시,강서구,화곡3동
1150057000,서울특별시,강서구,화곡4동
1150059000,서울특별시,강서구,화곡본동
1150059100,서울특별시,강서구,화곡6동
1150059300,서울특별시,강서구,화곡8동
1150060300,서울특별시,강서구,가양1동
1150060400,서울특별시,강서구,가양2동
1150060500,서울특별시,강서구,가양3동
1150061100,서울특별시,강서구,발산1동
1150061500,서울특별시,강서구,우장산동
1150062000,서울특별시,강서구,공항동
1150063000,서울특별시,강서구,방화1동
1150064000,서울특별시,강서구,방화2동
1150064100,서울특별시,강서구,방화3동
1153051000,서울특별시,구로구,신도림동
1153052000,서울특별시,구로구,구로1동
1153053000,서울특별시,구로구,구로2동
1153054000,서울특별시,구로구,구로3동
1153055000,서울특별시,구로구,구로4동
1153056000,서울특별시,구로구,구로5동
1153059500,서울특별시,구로구,가리봉동
1153072000,서울특별시,구로구,고척1동
1153073000,서울특별시,구로구,고척2동
1153074000,서울특별시,구로구,개봉1동
1153075000,서울특별시,구로구,개봉2동
1153076000,서울특별시,구로구,개봉3동
1153077000,서울특별시,구로구,오류1동
1153078000,서울특별시,구로구,오류2동
1153079000,서울특별시,구로구,수궁동
1153080000,서울특별시,구로구,항동
1154551000,서울특별시,금천구,가산동
1154561000,서울특별시,금천구,독산1동
1154562000,서울특별시,금천구,독산2동
1154563000,서울특별시,금천구,독산3동
1154564000,서울특별시,금천구,독산4동
1154567000,서울특별시,금천구,시흥1동
1154568000,서울특별시,금천구,시흥2동
1154569000,서울특별시,금천구,시흥3동
1154570000,서울특별시,금천구,시흥4동
1154571000,서울특별시,금천구,시흥5동
1156051500,서울특별시,영등포구,영등포본동
1156053500,서울특별시,영등포구,영등포동
1156054000,서울특별시,영등포구,여의동
1156055000,서울특별시,영등포구,당산1동
1156056000,서울특별시,영등포구,당산2동
1156058500,서울특별시,영등포구,도림동
1156060500,서울특별시,영등포구,문래동
1156061000,서울특별시,영등포구,양평1동
1156062000,서울특별시,영등포구,양평2동
1156063000,서울특별시,영등포구,신길1동
1156065000,서울특별시,영등포구,신길3동
1156066000,서울특별시,영등포구,신길4동
1156067000,서울특별시,영등포구,신길5동
1156068000,서울특별시,영등포구,신길6동
1156069000,서울특별시,영등포구,신길7동
1156070000,서울특별시,영등포구,대림1동
1156071000,서울특별시,영등포구,대림2동
1156072000,서울특별시,영등포구,대림3동
1159051000,서울특별시,동작구,노량진1동
1159052000,서울특별시,동작구,노량진2동
1159053000,서울특별시,동작구,상도1동
1159054000,서울특별시,동작구,상도2동
1159055000,서울특별시,동작구,상도3동
1159056000,서울특별시,동작구,상도4동
1159060500,서울특별시,동작구,흑석동
1159062000,서울특별시,동작구,사당1동
1159063000,서울특별시,동작구,사당2동
1159064000,서울특별시,동작구,사당3동
1159065000,서울특별시,동작구,사당4동
1159065100,서울특별시,동작구,사당5동
1159066000,서울특별시,동작구,대방동
1159067000,서울특별시,동작구,신대방1동
1159068000,서울특별시,동작구,신대방2동
1162052500,서울특별시,관악구,보라매동
1162054500,서울특별시,관악구,청림동
1162056500,서울특별시,관악구,성현동
1162057500,서울특별시,관악구,행운동
1162058500,서울특별시,관악구,낙성대동
1162059500,서울특별시,관악구,청룡동
1162060500,서울특별시,관악구,은천동
1162061500,서울특별시,관악구,중앙동
1162062500,서울특별시,관악구,인헌동
1162063000,서울특별시,관악구,남현동
1162064500,서울특별시,관악구,서원동
1162065500,서울특별시,관악구,신원동
1162066500,서울특별시,관악구,서림동
1162068500,서울특별시,관악구,신사동
1162069500,서울특별시,관악구,신림동
1162071500,서울특별시,관악구,난향동
1162072500,서울특별시,관악구,조원동
1162073500,서울특별시,관악구,대학동
1162074500,서울특별시,관악구,삼성동
1162076500,서울특별시,관악구,미성동
1162077500,서울특별시,관악구,난곡동
1165051000,서울특별시,서초구,서초1동
1165052000,서울특별시,서초구,서초2동
1165053000,서울특별시,서초구,서초3동
1165053100,서울특별시,서초구,서초4동
1165054000,서울특별시,서초구,잠원동
1165055000,서울특별시,서초구,반포본동
1165056000,서울특별시,서초구,반포1동
1165057000,서울특별시,서초구,반포2동
1165058000,서울특별시,서초구,반포3동
1165058100,서울특별시,서초구,반포4동
1165059000,서울특별시,서초구,방배본동
1165060000,서울특별시,서초구,방배1동
1165061000,서울특별시,서초구,방배2동
1165062000,서울특별시,서초구,방배3동
1165062100,서울특별시,서초구,방배4동
1165065100,서울특별시,서초구,양재1동
1165065200,서울특별시,서초구,양재2동
1165066000,서울특별시,서초구,내곡동
1168051000,서울특별시,강남구,신사동
1168052100,서울특별시,강남구,논현1동
1168053100,서울특별시,강남구,논현2동
1168054500,서울특별시,강남구,압구정동
1168056500,서울특별시,강남구,청담동
1168058000,서울특별시,강남구,삼성1동
1168059000,서울특별시,강남구,삼성2동
1168060000,서울특별시,강남구,대치1동
1168061000,서울특별시,강남구,대치2동
1168063000,서울특별시,강남구,대치4동
1168064000,서울특별시,강남구,역삼1동
1168065000,서울특별시,강남구,역삼2동
1168065500,서울특별시,강남구,도곡1동
1168065600,서울특별시,강남구,도곡2동
1168066000,서울특별시,강남구,개포1동
1168067000,서울특별시,강남구,개포2동
1168069000,서울특별시,강남구,개포4동
1168070000,서울특별시,강남구,세곡동
1168072000,서울특별시,강남구,일원본동
1168073000,서울특별시,강남구,일원1동
1168074000,서울특별시,강남구,일원2동
1168075000,서울특별시,강남구,수서동
1171051000,서울특별시,송파구,풍납1동
1171052000,서울특별시,송파구,풍납2동
1171053100,서울특별시,송파구,거여1동
1171053200,서울특별시,송파구,거여2동
1171054000,서울특별시,송파구,마천1동
1171055000,서울특별시,송파구,마천2동
1171056100,서울특별시,송파구,방이1동
1171056200,서울특별시,송파구,방이2동
1171056600,서울특별시,송파구,오륜동
1171057000,서울특별시,송파구,오금동
1171058000,서울특별시,송파구,송파1동
1171059000,서울특별시,송파구,송파2동
1171060000,서울특별시,송파구,석촌동
1171061000,서울특별시,송파구,삼전동
1171062000,서울특별시,송파구,가락본동
1171063100,서울특별시,송파구,가락1동
1171063200,서울특별시,송파구,가락2동
1171064100,서울특별시,송파구,문정1동
1171064200,서울특별시,송파구,문정2동
1171064600,서울특별시,송파구,장지동
1171064700,서울특별시,송파구,위례동
1171065000,서울특별시,송파구,잠실본동
1171067000,서울특별시,송파구,잠실2동
1171068000,서울특별시,송파구,잠실3동
1171069000,서울특별시,송파구,잠실4동
1171071000,서울특별시,송파구,잠실6동
1171072000,서울특별시,송파구,잠실7동
1174051500,서울특별시,강동구,강일동
1174052000,서울특별시,강동구,상일동
1174053000,서울특별시,강동구,명일1동
1174054000,서울특별시,강동구,명일2동
1174055000,서울특별시,강동구,고덕1동
1174056000,서울특별시,강동구,고덕2동
1174057000,서울특별시,강동구,암사1동
1174058000,서울특별시,강동구,암사2동
1174059000,서울특별시,강동구,암사3동
1174060000,서울특별시,강동구,천호1동
1174061000,서울특별시,강동구,천호2동
1174062000,서울특별시,강동구,천호3동
1174064000,서울특별시,강동구,성내1동
1174065000,서울특별시,강동구,성내2동
1174066000,서울특별시,강동구,성내3동
1174068500,서울특별시,강동구,길동
1174069000,서울특별시,강동구,둔촌1동
1174070000,서울특별시,강동구,둔촌2동
