자치구,읍면동명,행정동코드,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),노인인구비율,기초생활 대상자 비율
도봉구,방학1동,1132069000,-14.376177678929972,5,-0.4453240969816922,1,76.5969802555168,0.1917498973867834,0.03936927076207416
도봉구,방학2동,1132070000,-34.05593927374684,5,-10.144927536231885,3,77.0880361173815,0.2089092951692473,0.07180188541005227
도봉구,방학3동,1132071000,-12.651321948542469,5,-5.39568345323741,2,71.4285714285714,0.17213026847317056,0.00940192328316591
도봉구,창1동,1132051100,-26.409703012432743,5,0.0,1,79.0322580645161,0.1754724409448819,0.017283464566929134
도봉구,창2동,1132051200,-5.019548075011596,3,1.1246485473289598,1,66.7358229598893,0.1693300347686547,0.024505215298208077
도봉구,창3동,1132051300,-28.861452629403868,5,-10.499359795134442,3,82.563025210084,0.20149979169559784,0.055756144979863906
도봉구,창4동,1132051400,-17.03503184713376,5,-0.09157509157509157,1,62.780269058296,0.1501869090376017,0.009308803049182732
도봉구,창5동,1132051500,-12.925902015637329,5,1.0483870967741937,1,61.3432835820895,0.16710131183815394,0.016042358147621307
도봉구,도봉1동,1132052100,-31.971545391084668,4,-8.639455782312925,2,74.1721854304636,0.2594222833562586,0.04901421366345713
도봉구,도봉2동,1132052200,-18.581503984367846,3,-6.460176991150443,2,79.5045045045045,0.22729226361031518,0.026934097421203437
노원구,월계1동,1135056000,-4.61623789410811,4,0.8203445447087777,1,73.6716891356067,0.18262941303876976,0.029542993285683345
노원구,월계2동,1135057000,-13.216175605931927,1,-22.73476112026359,2,60.8791208791209,0.20608365019011407,0.08169473112438892
노원구,월계3동,1135058000,-17.64672907674197,5,-0.8417508417508417,1,64.1304347826087,0.19181552452094836,0.04579408898993179
노원구,공릉2동,1135060000,-17.45026746907389,5,0.5606166783461808,1,58.290723155588,0.12879088206144698,0.016303270564915758
노원구,하계1동,1135061100,-19.533397060580715,2,0.0,0,60.4247104247104,0.15544430538172715,0.07563025210084033
노원구,하계2동,1135061200,-23.180526814212058,5,-2.941176470588235,2,91.7808219178082,0.1376578796813801,0.03335827135501474
노원구,중계본동,1135061900,-17.523106635397987,5,-0.983284169124877,1,84.981684981685,0.10283858551840269,0.014152834576216824
노원구,중계1동,1135062100,-16.69654369909111,5,6.272617611580217,1,88.5167464114833,0.08430105966032805,0.017709391784003485
노원구,중계4동,1135062400,-19.289053683701436,5,-0.7033997655334115,1,63.2707774798928,0.1906804163454125,0.06476484194294525
노원구,상계1동,1135063000,-11.186233772331384,5,-1.2468827930174564,2,58.5923217550274,0.1743954698500153,0.029971431486583003
노원구,상계2동,1135064000,-10.831166502286381,5,2.3161316537992684,2,76.4127764127764,0.15870867968296926,0.03474772859075971
노원구,상계5동,1135067000,-13.316838888080337,5,0.29239766081871343,1,85.0964737192282,0.20107271040851715,0.04827196838327217
노원구,상계8동,1135070000,-38.11266356176536,5,-6.443914081145586,2,89.344262295082,0.12149980403257414,0.008491921787222923
노원구,상계9동,1135071000,-34.39126244779955,5,-3.2467532467532463,1,88.2352941176471,0.1565901701145092,0.013241600301588049
노원구,상계10동,1135072000,-42.04465247594636,4,-1.5772870662460567,3,94.2307692307692,0.13935681470137826,0.01315864103000397
노원구,상계3·4동,1135066500,-31.64388661383822,4,-28.940986257073565,4,89.9182561307902,0.22288846380223662,0.06636256621542083
노원구,상계6·7동,1135069500,-10.497697386672584,4,-2.366863905325444,2,88.0681818181818,0.1446406277866952,0.01729980381665775
노원구,중계2·3동,1135062500,-17.60489091345001,5,1.2392755004766445,1,79.1208791208791,0.2028887764851346,0.08778733209689203
노원구,공릉1동,1135059500,-5.564790425287063,4,0.08435259384226065,0,55.3529411764706,0.1653272101033295,0.045193612357791464
은평구,녹번동,1138051000,0.3689734339127583,1,-0.9009009009009009,1,66.0245183887916,0.18180616157609414,0.03067565780774825
은평구,불광1동,1138052000,-6.056507363991584,4,-4.301833568406206,2,73.4494477485132,0.19216930688121533,0.03080805556943681
은평구,갈현1동,1138055100,-14.721948258857445,4,0.30464584920030463,1,80.7377049180328,0.18776713968199693,0.05304325525730894
은평구,갈현2동,1138055200,-1.1812269291615398,4,-2.1691973969631237,2,62.6020163226116,0.16758439071103662,0.0322172440917952
은평구,구산동,1138056000,-2.207997031264496,2,-1.7964071856287425,2,58.8876772082879,0.1859562990574901,0.030336091159802406
은평구,대조동,1138057000,-16.99545728898631,4,-5.95187842971718,3,74.5063469675599,0.18133362340911563,0.038870154827948804
은평구,응암1동,1138058000,-15.83685586137911,4,-5.0524934383202105,3,63.1054131054131,0.15375019990404606,0.02312490004797697
은평구,응암2동,1138059000,11.819760301528818,1,-10.912052117263844,2,65.5719139297848,0.13558467741935484,0.026137672811059907
은평구,신사1동,1138063100,-1.0920842464990155,2,0.8823529411764706,1,55.7667103538663,0.17356710829493088,0.024013536866359448
은평구,신사2동,1138063200,-19.00903455819795,2,-3.618421052631579,1,81.2388326384753,0.1837192647409883,0.034089281451420386
은평구,증산동,1138064000,-34.25360587558623,5,-17.569060773480665,4,83.4389857369255,0.20049073416413765,0.028023503583650803
은평구,수색동,1138065000,-65.4118201823326,4,-41.53005464480874,5,81.3829787234043,0.18049387102504885,0.03499733522828211
은평구,진관동,1138069000,6.752305023293894,1,6.8152031454783755,0,6.81998413957177,0.14021237948861254,0.014618555260584044
은평구,불광2동,1138053000,-2.958932958932959,3,-5.461056401074306,3,77.6880733944954,0.20448851774530272,0.05292275574112735
은평구,응암3동,1138060000,-5.011989464994693,5,-4.62962962962963,2,79.8196650923143,0.21915235001761046,0.048917935271788046
은평구,역촌동,1138062500,-3.6638900190582238,4,-1.8401937046004841,2,59.8656078191814,0.17697437099213872,0.03225462834742964
서대문구,천연동,1141052000,-12.221550246950912,5,-2.6436781609195403,1,81.7283950617284,0.18294642362457753,0.03374148152252202
서대문구,홍제1동,1141062000,-10.786294164729199,2,-2.9013539651837523,2,78.7341772151899,0.18366932206145342,0.019834173305153635
서대문구,홍제3동,1141064000,-38.361175466406536,5,-7.971014492753622,3,84.5081967213115,0.22630294688106112,0.03040730776449978
서대문구,홍제2동,1141065500,-21.40578785594154,5,-1.509433962264151,2,81.0234541577825,0.19045625784847217,0.027138272638481932
서대문구,홍은1동,1141066000,-13.562401263823066,2,-7.61478163493841,2,83.2759807295251,0.19298547236310495,0.023639645835124217
서대문구,홍은2동,1141068500,-10.09506564056134,4,1.9957983193277309,1,70.2313624678663,0.18248359414437154,0.026682050912237687
서대문구,남가좌1동,1141069000,-33.37012671641132,2,-15.310344827586206,2,52.4590163934426,0.1332631187658757,0.010532185118641967
서대문구,남가좌2동,1141070000,-15.078684710060623,2,-15.93655589123867,3,72.6182965299684,0.15608465608465608,0.028777906826687315
서대문구,북가좌1동,1141071000,-18.67225651893486,4,0.9708737864077669,0,68.3006535947712,0.15697580427870883,0.016381958290671985
서대문구,북가좌2동,1141072000,-6.172839506172839,4,-0.425531914893617,1,67.1103477887505,0.19085197438310014,0.028439615139466416
서대문구,충현동,1141056500,-15.043749458546305,4,-3.3557046979865772,2,83.008356545961,0.16350275566442132,0.02209242074520703
서대문구,북아현동,1141055500,9.850107066381156,2,-20.546558704453442,0,88.4836852207294,0.13747346072186836,0.026126444916253832
서대문구,신촌동,1141058500,-0.5025357307514984,2,0.390625,2,76.9995855781185,0.09617803999826471,0.01978222202941304
서대문구,연희동,1141061500,-11.433488462284274,3,1.9768563162970105,1,78.2256020278834,0.1604909858074415,0.014780718578186932
마포구,용강동,1144059000,0.6123548718953608,2,-3.0679611650485437,3,60.2373887240356,0.13245271150649235,0.013973132048344342
마포구,대흥동,1144060000,-30.831519813755758,4,-4.651162790697675,3,83.8500360490267,0.13307697156906007,0.02326167811889302
마포구,염리동,1144061000,-63.18956544366381,2,-3.2716927453769555,3,84.181568088033,0.13627176616915423,0.020600124378109454
마포구,신수동,1144063000,2.238703474797418,2,-0.9812667261373774,1,65.0317892824705,0.14259086672879775,0.012073201728374143
마포구,서교동,1144066000,-14.302125215393453,4,-4.089068825910931,1,67.515756302521,0.12860902116304065,0.01193432415403432
마포구,합정동,1144068000,-25.230451009487837,4,13.449131513647641,1,70.0231481481482,0.1452411714039621,0.02513996554694229
마포구,망원1동,1144069000,-25.13992004568818,2,6.437454279444038,0,71.3048498845266,0.1611329512622555,0.02391891251835362
마포구,망원2동,1144070000,-17.760355297743136,5,-4.006541291905151,2,64.3720930232558,0.16033513738551208,0.019202747710241466
마포구,연남동,1144071000,-22.82343157128749,5,4.846066134549601,0,68.1209717402082,0.15261958997722094,0.013247812012948088
마포구,성산1동,1144072000,-6.786898422586154,5,-2.2284122562674096,1,63.1609870740306,0.15036333147009504,0.018903399562985923
마포구,성산2동,1144073000,-7.975634614017207,2,-4.4987146529562985,2,68.2511210762332,0.1504831689985001,0.03476849688952273
마포구,상암동,1144074000,-5.352928218522831,2,5.008944543828265,1,28.1553398058252,0.12248023252179892,0.016845329249617153
마포구,도화동,1144058500,-7.271395210403407,5,-0.2001000500250125,1,79.3632075471698,0.16942449313573962,0.01759250840985544
마포구,서강동,1144065500,-6.471518377106715,3,2.237926972909305,1,61.6611295681063,0.12518711100606633,0.00846923501142362
마포구,공덕동,1144056500,-0.16572754391779915,1,-1.0748560460652592,1,80.3771890435564,0.15179354838709677,0.02103225806451613
마포구,아현동,1144055500,-9.459253617669459,4,-12.808988764044942,2,52.3012552301255,0.12093360283742038,0.012394645513138325
양천구,목1동,1147051000,-4.270553637642245,5,-2.9055690072639226,4,74.5263157894737,0.09840199199420052,0.007343902669650455
양천구,목2동,1147052000,-8.064618711441836,3,0.592885375494071,1,55.1507537688442,0.13333333333333333,0.020159583129783422
양천구,목3동,1147053000,-2.592558482225088,2,0.08865248226950355,1,61.1783696529459,0.1444154926467341,0.029766373713730514
양천구,목4동,1147054000,-11.3218349674372,5,-2.5326797385620914,2,62.882096069869,0.12153493699885452,0.023062237495227185
양천구,신월1동,1147056000,-26.8727139722019,5,-5.46875,2,80.2002224694104,0.19213028334745363,0.059540619410712606
양천구,신월2동,1147057000,-37.43394371389947,4,-6.8080357142857135,2,66.9833729216152,0.17676579925650557,0.023094795539033458
양천구,신월3동,1147058000,-36.318723080820874,5,-9.35897435897436,1,86.0436137071651,0.18515502662073285,0.06608205449420608
양천구,신월4동,1147059000,-30.762307270877358,4,-0.4807692307692308,1,52.8158295281583,0.17163412127440905,0.01471304159679775
양천구,신월5동,1147060000,-22.911745759072364,5,-4.352941176470588,2,69.5336787564767,0.1570873658568701,0.03265521100796629
양천구,신월6동,1147061000,-38.422367862699794,4,-38.56920684292379,3,55.688622754491,0.12530801565444266,0.01000144948543267
양천구,신월7동,1147061100,-38.532024889329165,5,-5.801376597836775,2,92.1443736730361,0.20764127645150357,0.03481671589753523
