과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),노인인구비율,기초생활 대상자 비율,행정동코드
-45.92875318066157,5,0.6693440428380187,0,96.28482972136221,0.1813791771296117,0.0670916232052025,1117070000
-43.962003454231436,3,2.4285714285714284,1,78.3555018137848,0.1495751033532384,0.030374368396876437,1120052000
-40.20969620933775,2,-6.801736613603474,2,81.6115702479339,0.14753185267701735,0.025342894938383344,1120056000
-39.233375515369225,2,-5.5555555555555545,3,63.902439024390205,0.16429249762583095,0.04843304843304843,1120059000
-43.70615674963501,5,-3.7413582757218378,3,88.9136490250696,0.1665111396244022,0.04560830514405692,1120067000
-55.344335954376575,5,-4.045307443365696,2,86.1161524500907,0.15642107152472404,0.059319752310867814,1120072000
-53.59811403684022,5,-12.265084075173096,2,88.451160280626,0.16850047154982709,0.06735303363722099,1120079000
-35.59184665883211,3,-6.395348837209302,3,75.133214920071,0.16660750207076086,0.06537687847592001,1121576000
-40.58833436254421,3,-7.683679192372407,3,68.0112044817927,0.13612334801762113,0.03951541850220264,1121585000
-33.974760934315725,5,-12.135665076841548,3,89.30848455125059,0.17253553841865651,0.04064851807116975,1121584700
-37.804878048780495,3,-11.377870563674323,5,83.3736884584342,0.13865382111704205,0.023369352948834788,1123072000
-42.260503160242905,5,-20.799407846039973,4,89.89361702127658,0.1550106107050224,0.032775288846970056,1123074000
-38.04270144720386,4,-25.418060200668894,4,77.1968854282536,0.14582907032262465,0.04951913239206057,1126055000
-35.651935648021286,3,0.7829977628635347,0,76.4161849710983,0.1883710303861092,0.10046835732236692,1126066000
-36.78137895116381,5,-5.685618729096991,2,80.9523809523809,0.1949308482222354,0.04321244138422271,1129064000
-37.692742695570224,3,-16.348773841961854,3,83.5534213685474,0.15011359002737812,0.026679093609832817,1129068500
-33.28919399240339,5,-21.405049396267835,4,83.19444444444441,0.18128025820333515,0.09105579734950364,1129076000
-53.440033257119104,4,-36.62162162162162,5,91.5,0.2212533673614065,0.06784347086346236,1129077000
-32.177664163604405,3,-57.370892018779344,4,89.34108527131781,0.13514603375770493,0.03577395011233366,1129078000
-38.284953186821795,5,-9.18803418803419,2,86.68146503884572,0.23863636363636365,0.10354206963249517,1130560300
-42.74236600469784,5,5.78345662407532,2,80.0360522757999,0.19601285041587815,0.04990538221185583,1130553500
-54.753834524128855,5,-5.229357798165138,1,71.74468085106379,0.19571266618571576,0.051015149953622586,1132067000
-34.05593927374684,5,-10.144927536231883,3,77.08803611738149,0.2089092951692473,0.1089727934352562,1132070000
-38.11266356176536,5,-6.443914081145586,2,89.344262295082,0.12149980403257415,0.014893524365283281,1135070000
-34.39126244779955,5,-3.2467532467532463,1,88.2352941176471,0.1565901701145092,0.021629517930352008,1135071000
-42.04465247594636,4,-1.5772870662460567,3,94.2307692307692,0.13935681470137826,0.0226873121206965,1135072000
-31.64388661383822,4,-28.940986257073565,4,89.9182561307902,0.22288846380223665,0.09060476751030018,1135066500
-34.25360587558623,5,-17.569060773480665,4,83.4389857369255,0.20049073416413765,0.041324982243171694,1138064000
-65.4118201823326,4,-41.53005464480874,5,81.38297872340429,0.18049387102504885,0.04645585361520697,1138065000
-38.36117546640653,5,-7.971014492753622,3,84.5081967213115,0.2263029468810611,0.04098104235750485,1141064000
-33.37012671641132,2,-15.310344827586205,2,52.4590163934426,0.1332631187658757,0.014745059166098752,1141069000
-63.18956544366382,2,-3.2716927453769555,3,84.181568088033,0.13627176616915426,0.026741293532338308,1144061000
-37.43394371389947,4,-6.8080357142857135,2,66.9833729216152,0.17676579925650554,0.03368959107806691,1147057000
-36.31872308082089,5,-9.35897435897436,1,86.0436137071651,0.18515502662073285,0.08975884747886001,1147058000
-38.42236786269979,4,-38.56920684292379,3,55.68862275449099,0.12530801565444266,0.015147122771416147,1147061000
-38.53202488932917,5,-5.801376597836776,2,92.1443736730361,0.2076412764515036,0.05069972398431069,1147061100
-47.75761725436496,0,-7.323943661971831,3,56.66199158485271,0.11541622154655272,0.011011586818966223,1150052000
-52.88290441664674,4,-7.755102040816326,1,62.1818181818182,0.1519730869867037,0.046670582581299726,1150055000
-40.133254116448825,5,-1.478743068391867,2,75.6302521008403,0.2646010419522896,0.21524540718398685,1150060400
-36.81666615681116,3,-2.4734982332155475,1,70.9219858156028,0.11446005917159766,0.004114275147928993,1153052000
-45.44693322168725,5,-10.526315789473683,2,78.97271268057791,0.16432788154456596,0.05811477789606116,1154562000
-43.60288534548216,5,-7.251082251082251,2,75.4601226993865,0.1652542372881356,0.04615208428767751,1154564000
-43.755853886980965,5,-6.045340050377834,4,70.77363896848141,0.20389898094816128,0.032255206025697834,1154569000
-43.624426962476655,5,-10.339506172839506,2,76.0336370007008,0.1875,0.05766728624535316,1154570000
-41.25540854079137,5,-10.422812192723695,3,82.22477064220179,0.21246556473829198,0.07964384100747737,1154571000
-42.485370051635115,3,-10.072595281306716,3,79.8569069895432,0.17561433714196276,0.04152971252673866,1156063000
-40.898710865561696,2,-25.583657587548643,5,88.3720930232558,0.17085038151056064,0.0443436912529028,1156065000
-54.38255510784546,4,-35.067437379576106,4,89.12237330037078,0.17111145367658392,0.05256667180514876,1156066000
-61.490637799882975,4,-23.76068376068376,4,86.4676616915423,0.165893085787452,0.04305377720870679,1156067000
-55.50623094614109,5,-4.3591979075850045,1,72.4077328646749,0.1685805673535735,0.02412039221855173,1156068000
-46.788886788886785,4,-11.4233907524932,4,78.8123167155425,0.17666610331812296,0.03013914709030477,1156070000
-63.03232426885582,5,-1.9534184823441023,1,82.4017708909795,0.15392394822006472,0.02472694174757281,1156071000
